Date,new_cases,new_death_cases,num_of_days
9/16/2020,1137,38,238
9/17/2020,1552,31,239
9/18/2020,1397,27,240
9/19/2020,1274,28,241
9/20/2020,1300,8,242
9/21/2020,808,4,243
9/22/2020,1193,39,244
9/23/2020,952,30,245
9/24/2020,1687,40,246
9/25/2020,6143,53,247
9/26/2020,1730,31,248
9/27/2020,1289,1,249
9/28/2020,877,4,250
9/29/2020,910,49,251
9/30/2020,1496,38,252
10/1/2020,2263,47,253
10/2/2020,1789,29,254
10/3/2020,2202,21,255
10/4/2020,610,5,256
10/5/2020,2232,3,257
10/6/2020,1530,33,258
10/7/2020,1711,23,259
10/8/2020,2428,29,260
10/9/2020,2034,25,261
10/10/2020,2321,18,262
10/11/2020,1718,5,263
10/12/2020,1275,3,264
10/13/2020,1736,43,265
10/14/2020,1926,40,266
10/15/2020,2532,18,267
10/16/2020,2684,36,268
10/17/2020,2102,19,269
10/18/2020,2303,5,270
10/19/2020,1144,5,271
10/20/2020,1578,53,272
10/21/2020,0,0,273
10/22/2020,4242,90,274
10/23/2020,3292,0,275
10/24/2020,5727,90,276
10/25/2020,7342,0,277
10/26/2020,3815,175,278
10/27/2020,0,0,279
10/28/2020,2884,0,280
10/29/2020,0,0,281
10/30/2020,2804,0,282
10/31/2020,2057,0,283
11/1/2020,1333,0,284
11/2/2020,2157,0,285
11/3/2020,7387,288,286
11/4/2020,2466,50,287
11/5/2020,2857,43,288
11/6/2020,2675,0,289
11/7/2020,2098,0,290
11/8/2020,1515,0,291
11/9/2020,2907,66,292
11/10/2020,3119,24,293
11/11/2020,2586,58,294
11/12/2020,781,0,295
11/13/2020,3891,23,296
11/14/2020,3117,0,297
11/15/2020,1972,0,298
11/16/2020,3284,0,299
11/17/2020,3349,0,300
11/18/2020,3903,179,301
11/19/2020,4101,0,302
11/20/2020,3113,0,303
11/21/2020,3802,107,304
11/22/2020,2426,0,305
11/23/2020,4891,34,306
11/24/2020,4219,0,307
11/25/2020,3098,99,308
11/26/2020,4005,0,309
11/27/2020,3441,0,310
11/28/2020,3822,0,311
11/29/2020,2733,0,312
11/30/2020,3998,123,313
12/1/2020,4196,0,314
12/2/2020,5489,0,315
12/3/2020,2881,149,316
12/4/2020,5609,0,317
12/5/2020,5451,105,318
12/6/2020,6792,26,319
12/7/2020,4444,16,320
12/8/2020,4529,45,321
12/9/2020,6506,55,322
12/10/2020,5619,55,323
12/11/2020,7579,38,324
12/12/2020,6155,43,325
12/13/2020,6811,28,326
12/14/2020,4795,31,327
12/15/2020,5238,29,328
12/16/2020,5269,98,329
12/17/2020,4853,80,330
12/18/2020,8945,59,331
12/19/2020,6601,64,332
12/20/2020,6899,42,333
12/21/2020,5258,0,334
12/22/2020,5609,0,335
12/23/2020,0,0,336
12/24/2020,0,0,337
12/25/2020,0,0,338
12/26/2020,0,0,339
12/27/2020,0,0,340
12/28/2020,30681,337,341
12/29/2020,1551,26,342
12/30/2020,8438,194,343
12/31/2020,6629,19,344
1/1/2021,0,1,345
1/2/2021,21071,144,346
1/3/2021,6214,18,347
1/4/2021,5481,31,348
1/5/2021,5295,55,349
1/6/2021,6954,81,350
1/7/2021,9953,137,351
1/8/2021,10353,114,352
1/9/2021,11183,98,353
1/10/2021,9329,141,354
1/11/2021,5959,11,355
1/12/2021,6842,59,356
1/13/2021,5103,109,357
1/14/2021,9183,78,358
