Date,new_cases,new_death_cases
2020-07-06,1545.0,2.0
2020-07-07,1347.0,22.0
2020-07-08,1435.0,20.0
2020-07-09,2039.0,20.0
2020-07-10,1981.0,18.0
2020-07-11,2463.0,15.0
2020-07-12,1908.0,10.0
2020-07-13,1827.0,7.0
2020-07-14,1956.0,41.0
2020-07-15,1780.0,14.0
2020-07-16,2160.0,0.0
2020-07-17,2053.0,41.0
2020-07-18,2481.0,23.0
2020-07-19,1820.0,5.0
2020-07-20,1268.0,8.0
2020-07-21,1815.0,26.0
2020-07-22,2133.0,30.0
2020-07-23,1747.0,28.0
2020-07-24,2245.0,20.0
2020-07-25,2106.0,32.0
2020-07-26,1621.0,7.0
2020-07-27,1621.0,5.0
2020-07-28,1752.0,30.0
2020-07-29,1750.0,45.0
2020-07-30,2356.0,38.0
2020-07-31,1955.0,21.0
2020-08-01,1730.0,40.0
2020-08-02,1337.0,5.0
2020-08-03,1318.0,13.0
2020-08-04,1629.0,28.0
2020-08-05,1125.0,40.0
2020-08-06,1981.0,42.0
2020-08-07,1542.0,42.0
2020-08-08,1957.0,26.0
2020-08-09,1452.0,8.0
2020-08-10,621.0,4.0
2020-08-11,1053.0,32.0
2020-08-12,0.0,0.0
2020-08-13,2932.0,83.0
2020-08-14,1346.0,26.0
2020-08-15,1534.0,30.0
2020-08-16,1248.0,4.0
2020-08-17,564.0,1.0
2020-08-18,1263.0,48.0
2020-08-19,1146.0,35.0
2020-08-20,1979.0,34.0
2020-08-21,2006.0,29.0
2020-08-22,1730.0,27.0
2020-08-23,1473.0,10.0
2020-08-24,1283.0,4.0
2020-08-25,1345.0,35.0
2020-08-26,1244.0,36.0
2020-08-27,2091.0,24.0
2020-08-28,1415.0,22.0
2020-08-29,2585.0,31.0
2020-08-30,1051.0,9.0
2020-08-31,1182.0,10.0
2020-09-01,2115.0,39.0
2020-09-02,1129.0,38.0
2020-09-03,1648.0,24.0
2020-09-04,0.0,0.0
2020-09-05,3614.0,86.0
2020-09-06,1086.0,1.0
2020-09-07,1018.0,7.0
2020-09-08,716.0,12.0
2020-09-09,897.0,49.0
2020-09-10,1222.0,32.0
2020-09-11,1532.0,33.0
2020-09-12,1452.0,24.0
2020-09-13,1198.0,5.0
2020-09-14,844.0,8.0
2020-09-15,1107.0,51.0
2020-09-16,1137.0,38.0
2020-09-17,1552.0,31.0
2020-09-18,1397.0,27.0
2020-09-19,1274.0,28.0
2020-09-20,1300.0,8.0
2020-09-21,808.0,4.0
2020-09-22,1193.0,39.0
2020-09-23,952.0,30.0
2020-09-24,1687.0,40.0
2020-09-25,6143.0,53.0
2020-09-26,1730.0,31.0
2020-09-27,1289.0,1.0
2020-09-28,877.0,4.0
2020-09-29,910.0,49.0
2020-09-30,1496.0,38.0
2020-10-01,2263.0,47.0
2020-10-02,1789.0,29.0
2020-10-03,2202.0,21.0
2020-10-04,610.0,5.0
2020-10-05,2232.0,3.0
2020-10-06,1530.0,33.0
2020-10-07,1711.0,23.0
2020-10-08,2428.0,29.0
2020-10-09,2034.0,25.0
2020-10-10,2321.0,18.0
2020-10-11,1718.0,5.0
2020-10-12,1275.0,3.0
2020-10-13,1736.0,43.0
2020-10-14,1926.0,40.0
2020-10-15,2532.0,18.0
2020-10-16,2684.0,36.0
2020-10-17,2102.0,19.0
2020-10-18,2303.0,5.0
2020-10-19,1144.0,5.0
2020-10-20,1578.0,53.0
2020-10-21,0.0,0.0
2020-10-22,4242.0,90.0
2020-10-23,3292.0,0.0
2020-10-24,-5727.0,-90.0
2020-10-25,7342.0,0.0
2020-10-26,3815.0,175.0
2020-10-27,0.0,0.0
2020-10-28,2884.0,0.0
2020-10-29,0.0,0.0
2020-10-30,2804.0,0.0
2020-10-31,2057.0,0.0
2020-11-01,1333.0,0.0
2020-11-02,2157.0,0.0
2020-11-03,7387.0,288.0
2020-11-04,2466.0,50.0
2020-11-05,2857.0,43.0
2020-11-06,2675.0,0.0
2020-11-07,2098.0,0.0
2020-11-08,1515.0,0.0
2020-11-09,2907.0,66.0
2020-11-10,3119.0,24.0
2020-11-11,2586.0,58.0
2020-11-12,781.0,0.0
2020-11-13,3891.0,23.0
2020-11-14,3117.0,0.0
2020-11-15,1972.0,0.0
2020-11-16,3284.0,0.0
2020-11-17,3349.0,0.0
2020-11-18,3903.0,179.0
2020-11-19,4101.0,0.0
2020-11-20,3113.0,0.0
2020-11-21,3802.0,107.0
2020-11-22,2426.0,0.0
2020-11-23,4891.0,34.0
2020-11-24,4219.0,0.0
2020-11-25,3098.0,99.0
2020-11-26,4005.0,0.0
2020-11-27,3441.0,0.0
2020-11-28,3822.0,0.0
2020-11-29,2733.0,0.0
2020-11-30,3998.0,123.0
2020-12-01,4196.0,0.0
2020-12-02,5489.0,0.0
2020-12-03,2881.0,149.0
2020-12-04,5609.0,0.0
2020-12-05,5451.0,105.0
2020-12-06,6792.0,26.0
2020-12-07,4444.0,16.0
2020-12-08,4529.0,45.0
2020-12-09,6506.0,55.0
2020-12-10,5619.0,55.0
2020-12-11,7579.0,38.0
2020-12-12,6155.0,43.0
2020-12-13,6811.0,28.0
2020-12-14,4795.0,31.0
2020-12-15,5238.0,29.0
2020-12-16,5269.0,98.0
2020-12-17,4853.0,80.0
2020-12-18,8945.0,59.0
2020-12-19,6601.0,64.0
2020-12-20,6899.0,42.0
2020-12-21,5258.0,0.0
2020-12-22,5609.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,0.0
2020-12-25,0.0,0.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,30681.0,337.0
2020-12-29,1551.0,-26.0
2020-12-30,8438.0,194.0
2020-12-31,6629.0,19.0
2021-01-01,0.0,-1.0
2021-01-02,21071.0,144.0
2021-01-03,6214.0,18.0
2021-01-04,5481.0,31.0
2021-01-05,5295.0,55.0
2021-01-06,6954.0,81.0
2021-01-07,9953.0,137.0
2021-01-08,10353.0,114.0
2021-01-09,11183.0,98.0
2021-01-10,9329.0,141.0
2021-01-11,5959.0,11.0
2021-01-12,6842.0,59.0
2021-01-13,5103.0,109.0
2021-01-14,9183.0,78.0
2021-01-15,9283.0,108.0
2021-01-16,8142.0,84.0
2021-01-17,6959.0,67.0
2021-01-18,0.0,0.0
2021-01-19,7459.0,56.0
2021-01-20,8658.0,61.0
2021-01-21,6192.0,139.0
2021-01-22,8213.0,125.0
2021-01-23,7534.0,122.0
2021-01-24,6027.0,109.0
2021-01-25,4711.0,25.0
2021-01-26,3982.0,56.0
2021-01-27,5584.0,140.0
2021-01-28,6469.0,131.0
2021-01-29,6103.0,110.0
2021-01-30,6953.0,131.0
2021-01-31,5005.0,46.0
2021-02-01,3775.0,9.0
2021-02-02,2916.0,67.0
2021-02-03,12090.0,169.0
2021-02-04,5435.0,150.0
2021-02-05,4919.0,113.0
2021-02-06,4729.0,84.0
2021-02-07,4775.0,58.0
2021-02-08,3010.0,8.0
2021-02-09,2883.0,55.0
2021-02-10,3833.0,135.0
2021-02-11,4553.0,113.0
2021-02-12,4150.0,83.0
2021-02-13,4097.0,76.0
2021-02-14,3200.0,40.0
2021-02-15,2243.0,10.0
2021-02-16,2206.0,60.0
2021-02-17,3167.0,108.0
2021-02-18,3918.0,96.0
2021-02-19,3224.0,54.0
2021-02-20,3404.0,76.0
2021-02-21,2590.0,30.0
2021-02-22,2118.0,8.0
2021-02-23,1536.0,32.0
2021-02-24,3335.0,108.0
2021-02-25,3346.0,62.0
2021-02-26,2926.0,49.0
2021-02-27,2645.0,27.0
2021-02-28,0.0,0.0
2021-03-01,3614.0,43.0
2021-03-02,1249.0,34.0
2021-03-03,2142.0,76.0
2021-03-04,2458.0,37.0
2021-03-05,2136.0,45.0
2021-03-06,2029.0,55.0
2021-03-07,0.0,0.0
2021-03-08,2724.0,33.0
2021-03-09,1003.0,17.0
2021-03-10,1879.0,47.0
2021-03-11,2063.0,28.0
2021-03-12,2017.0,39.0
2021-03-13,0.0,0.0
2021-03-14,0.0,0.0
2021-03-15,4359.0,47.0
2021-03-16,1093.0,14.0
2021-03-17,1996.0,35.0
2021-03-18,1931.0,26.0
2021-03-19,1995.0,21.0
2021-03-20,1977.0,16.0
2021-03-21,356.0,1.0
2021-03-22,2547.0,16.0
2021-03-23,1052.0,17.0
2021-03-24,1988.0,40.0
2021-03-25,2223.0,92.0
2021-03-26,2132.0,41.0
2021-03-27,0.0,0.0
2021-03-28,0.0,0.0
2021-03-29,5321.0,58.0
2021-03-30,1376.0,2.0
2021-03-31,1929.0,25.0
2021-04-01,2025.0,21.0
2021-04-02,0.0,0.0
2021-04-03,0.0,0.0
2021-04-04,0.0,0.0
2021-04-05,6407.0,37.0
2021-04-06,884.0,15.0
2021-04-07,1392.0,23.0
2021-04-08,2039.0,13.0
2021-04-09,2520.0,21.0
2021-04-10,0.0,0.0
2021-04-11,0.0,0.0
2021-04-12,5597.0,42.0
2021-04-13,1422.0,15.0
2021-04-14,2360.0,20.0
2021-04-15,2430.0,34.0
2021-04-16,2479.0,28.0
2021-04-17,0.0,0.0
2021-04-18,0.0,0.0
2021-04-19,5672.0,31.0
2021-04-20,1201.0,19.0
2021-04-21,1963.0,43.0
2021-04-22,2234.0,25.0
2021-04-23,2168.0,18.0
2021-04-24,0.0,0.0
2021-04-25,0.0,0.0
2021-04-26,5689.0,37.0
2021-04-27,1150.0,23.0
2021-04-28,1765.0,36.0
2021-04-29,1983.0,12.0
2021-04-30,2233.0,20.0
2021-05-01,0.0,0.0
2021-05-02,0.0,0.0
2021-05-03,4567.0,40.0
2021-05-04,981.0,9.0
2021-05-05,1469.0,21.0
2021-05-06,1798.0,17.0
2021-05-07,1904.0,42.0
2021-05-08,0.0,0.0
2021-05-09,0.0,0.0
2021-05-10,3780.0,10.0
2021-05-11,699.0,11.0
2021-05-12,1491.0,29.0
2021-05-13,1389.0,23.0
2021-05-14,1509.0,9.0
2021-05-15,0.0,0.0
2021-05-16,0.0,0.0
2021-05-17,2617.0,29.0
2021-05-18,623.0,20.0
2021-05-19,969.0,27.0
2021-05-20,1186.0,12.0
2021-05-21,1021.0,8.0
2021-05-22,0.0,0.0
2021-05-23,0.0,0.0
2021-05-24,2422.0,29.0
2021-05-25,524.0,17.0
2021-05-26,0.0,0.0
2021-05-27,1699.0,51.0
2021-05-28,743.0,0.0
2021-05-29,0.0,0.0
2021-05-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-01,2101.0,46.0
2021-06-02,265.0,9.0
2021-06-03,481.0,20.0
2021-06-04,680.0,21.0
2021-06-05,0.0,0.0
2021-06-06,0.0,0.0
2021-06-07,1297.0,48.0
2021-06-08,299.0,13.0
2021-06-09,544.0,18.0
2021-06-10,464.0,16.0
2021-06-11,425.0,19.0
2021-06-12,0.0,0.0
2021-06-13,0.0,0.0
2021-06-14,1228.0,27.0
2021-06-15,271.0,4.0
2021-06-16,333.0,18.0
2021-06-17,363.0,6.0
2021-06-18,220.0,20.0
2021-06-19,0.0,0.0
2021-06-20,0.0,0.0
2021-06-21,776.0,28.0
2021-06-22,0.0,0.0
2021-06-23,671.0,25.0
2021-06-24,394.0,15.0
2021-06-25,386.0,7.0
2021-06-26,0.0,0.0
2021-06-27,0.0,0.0
2021-06-28,867.0,5.0
2021-06-29,274.0,4.0
2021-06-30,208.0,13.0
2021-07-01,296.0,-3.0
2021-07-02,374.0,0.0
2021-07-03,0.0,0.0
2021-07-04,0.0,0.0
2021-07-05,0.0,0.0
2021-07-06,1488.0,21.0
2021-07-07,415.0,5.0
2021-07-08,628.0,15.0
2021-07-09,543.0,8.0
2021-07-10,0.0,0.0
2021-07-11,0.0,0.0
2021-07-12,1860.0,25.0
2021-07-13,545.0,-5.0
2021-07-14,995.0,9.0
2021-07-15,1020.0,7.0
2021-07-16,1023.0,4.0
2021-07-17,0.0,0.0
2021-07-18,0.0,0.0
2021-07-19,2950.0,12.0
2021-07-20,871.0,6.0
2021-07-21,1432.0,9.0
2021-07-22,1802.0,12.0
2021-07-23,1998.0,8.0
2021-07-24,0.0,0.0
2021-07-25,0.0,0.0
2021-07-26,5444.0,10.0
2021-07-27,1603.0,10.0
2021-07-28,2633.0,16.0
2021-07-29,3268.0,12.0
2021-07-30,3198.0,17.0
2021-07-31,0.0,0.0
2021-08-01,0.0,0.0
2021-08-02,8951.0,53.0
2021-08-03,5274.0,12.0
2021-08-04,0.0,0.0
2021-08-05,4296.0,24.0
2021-08-06,4538.0,12.0
2021-08-07,0.0,0.0
2021-08-08,0.0,0.0
2021-08-09,15686.0,23.0
2021-08-10,3103.0,9.0
2021-08-11,4963.0,22.0
2021-08-12,5889.0,16.0
2021-08-13,6531.0,20.0
2021-08-14,0.0,0.0
2021-08-15,0.0,0.0
2021-08-16,15096.0,54.0
